query_node,rtt_ms,hilbert_order,box_lo,box_hi,depth,box_point_count,min_vec_dist_ms,q_height_ms,q_adj_ms,box_min_h_ms,box_min_adj_ms,min_h_node,min_adj_node,base_lb_ms,adjusted_lb_ms,serf_apply_adj_bestcase,serf_effective_lb_ms,serf_effective_lb_gt_T,fp_node,order_file
serf30,5,14,4186 2170 6331 10587 3592,4186 2170 6331 10587 3592,11,1,2.35154,5.07507,-4.84784,1.60458,-4.54255,serf26,serf26,9.03119,-0.359209,0,9.03119,1,serf26,14
serf32,5,15,7897 4794 12086 20849 7193,7897 4794 12086 20849 7193,12,1,3.60824,0.488207,-4.78439,5.18121,-4.89927,serf31,serf31,9.27765,-0.406003,0,9.27765,1,serf31,15
serf32,5,15,7898 4875 12127 20928 7153,7898 4875 12127 20928 7153,12,1,3.64126,0.488207,-4.78439,5.07507,-4.84784,serf30,serf30,9.20453,-0.427699,0,9.20453,1,serf30,15
serf127,5,15,7692 11749 6746 8666 4574,7692 11749 6746 8666 4574,12,1,1.89241,2.63326,-5.03545,2.65669,-4.81472,serf125,serf125,7.18236,-2.66781,0,7.18236,1,serf125,15
serf127,5,15,7654 11703 6738 9041 4544,7654 11703 6738 9041 4544,12,1,1.39481,2.63326,-5.03545,2.18185,-4.88635,serf126,serf126,6.20992,-3.71188,0,6.20992,1,serf126,15
serf26,5,15,7898 4875 12127 20928 7153,7898 4875 12127 20928 7153,12,1,2.35602,1.60458,-4.54255,5.07507,-4.84784,serf30,serf30,9.03566,-0.354734,0,9.03566,1,serf30,15
serf26,5,15,7897 4794 12086 20849 7193,7897 4794 12086 20849 7193,12,1,2.37086,1.60458,-4.54255,5.18121,-4.89927,serf31,serf31,9.15665,-0.285171,0,9.15665,1,serf31,15
serf126,5,15,7692 11749 6746 8666 4574,7692 11749 6746 8666 4574,12,1,0.967915,2.18185,-4.88635,2.65669,-4.81472,serf125,serf125,5.80646,-3.89461,0,5.80646,1,serf125,15
serf126,5,15,7209 11436 6608 9113 4647,7209 11436 6608 9113 4647,12,1,1.39363,2.18185,-4.88635,2.63326,-5.03545,serf127,serf127,6.20875,-3.71305,0,6.20875,1,serf127,15
serf97,5,15,138 15450 14682 9974 8272,138 15450 14682 9974 8272,12,1,4.22779,1.72899,-4.93511,0.186137,-4.65886,serf98,serf98,6.14292,-3.45106,0,6.14292,1,serf98,15
serf125,5,15,7654 11703 6738 9041 4544,7654 11703 6738 9041 4544,12,1,0.967297,2.65669,-4.81472,2.18185,-4.88635,serf126,serf126,5.80584,-3.89523,0,5.80584,1,serf126,15
serf125,5,15,7209 11436 6608 9113 4647,7209 11436 6608 9113 4647,12,1,1.89128,2.65669,-4.81472,2.63326,-5.03545,serf127,serf127,7.18122,-2.66895,0,7.18122,1,serf127,15
serf31,5,15,8373 4340 12663 21175 7184,8373 4340 12663 21175 7184,12,1,2.37023,5.18121,-4.89927,1.60458,-4.54255,serf26,serf26,9.15602,-0.285804,0,9.15602,1,serf26,15
serf31,5,15,8187 3721 12673 21510 7197,8187 3721 12673 21510 7197,12,1,3.60716,5.18121,-4.89927,0.488207,-4.78439,serf32,serf32,9.27657,-0.407084,0,9.27657,1,serf32,15
serf98,5,15,1212 14547 14402 10200 9092,1212 14547 14402 10200 9092,12,1,4.22846,0.186137,-4.65886,1.72899,-4.93511,serf97,serf97,6.14358,-3.45039,0,6.14358,1,serf97,15
serf30,5,15,8187 3721 12673 21510 7197,8187 3721 12673 21510 7197,12,1,3.6406,5.07507,-4.84784,0.488207,-4.78439,serf32,serf32,9.20387,-0.42836,0,9.20387,1,serf32,15
serf30,5,15,8373 4340 12663 21175 7184,8373 4340 12663 21175 7184,12,1,2.35645,5.07507,-4.84784,1.60458,-4.54255,serf26,serf26,9.0361,-0.354298,0,9.0361,1,serf26,15
